22:07:40.280 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.02 -0.03
22:07:40.287 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 -0.01
22:07:40.294 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 -0.03
22:07:40.301 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 -0.03
22:07:40.308 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.02 0.00
22:07:40.315 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 0.01 -0.01
22:07:40.322 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.01
22:07:40.329 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.03 0.00
22:07:40.336 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 0.00
22:07:40.343 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.02 0.00
22:07:40.350 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.01
22:07:40.357 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.00
22:07:40.365 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 -0.01
22:07:40.371 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 0.00
22:07:40.378 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 -0.01
22:07:40.387 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 -0.01
22:07:40.392 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.03 -0.01
22:07:40.401 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.01 0.03
22:07:40.406 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.02 0.00
22:07:40.413 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.00
22:07:40.420 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.00
22:07:40.428 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.01 -0.03
22:07:40.435 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.05
22:07:40.441 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.04 -0.01
22:07:40.448 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 -0.03
22:07:40.455 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 -0.01
22:07:40.463 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 -0.01
22:07:40.469 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 -0.01
22:07:40.476 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 -0.01
22:07:40.483 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.03 0.00
22:07:40.490 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 0.04 0.00
22:07:40.497 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 -0.01
22:07:40.504 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.02 0.00
22:07:40.511 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 0.00
22:07:40.518 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.02
22:07:40.525 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.00
22:07:40.533 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.04 0.00
22:07:40.539 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 -0.04 -0.01
22:07:40.546 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 -0.04 -0.01
22:07:40.554 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 -0.04 0.00
22:07:40.560 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.05 0.03 -0.01
22:07:40.567 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.00
22:07:40.574 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 -0.01
22:07:40.581 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.01
22:07:40.588 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.00
22:07:40.595 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.00
22:07:40.602 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 -0.01
22:07:40.609 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.02 -0.01
22:07:40.617 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.02 -0.01
22:07:40.623 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.00
22:07:40.630 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.01 0.00
22:07:40.637 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.01 -0.03
22:07:40.644 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.01 0.00
22:07:40.651 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.03 0.00
22:07:40.658 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 -0.03
22:07:40.665 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:40.672 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 0.02
22:07:40.679 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 0.00
22:07:40.686 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:40.693 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.01
22:07:40.700 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 -0.01
