01:24:17.902 > ��Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:17.902 > Setup t1
01:24:17.902 > [    26][E][esp32-hal-i2c.c:255] i2cSetClock(): could not acquire lock
01:24:22.502 > 3C:61:05:33:DA:74Calibrando ESC: enviar pulso máximo
01:24:25.751 > Calibrated offsets: Throttle=0, Yaw=1079885824, Pitch=0, Roll=1079853056
01:24:27.504 > Calibrando ESC: enviar pulso mínimo
01:24:29.504 > Calibración ESC finalizada
01:24:30.331 > Desired roll:  0.00  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.339 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.348 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.356 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.365 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.372 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.380 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.389 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.397 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.404 > Desired roll:  0.00  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.413 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.421 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.429 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.437 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.445 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.453 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.462 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.470 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.478 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.486 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.494 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.508 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.517 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.525 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.534 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.541 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.549 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.557 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.565 > Desired roll:  0.00  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.574 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.582 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.590 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.599 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.606 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.614 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.623 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.631 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.639 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.647 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  0.00
01:24:30.655 > Desired roll:  0.08  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.663 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.00  | Desired throttle:  0.00
01:24:30.672 > Desired roll:  0.08  | Desired pitch:  0.08  | Desired yaw:  0.08  | Desired throttle:  0.00
