00:35:41.586 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.594 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.608 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.617 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.626 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.634 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:41.642 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.651 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.661 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.668 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.676 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:41.685 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.701 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.707 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.715 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.48
00:35:41.725 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:41.734 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.741 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.750 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.761 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.767 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.774 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.788 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.798 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:41.805 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
